symbol,price
STRATBNB,0.01900000
STRATUSDT,0.49040000
AIONBUSD,0.07210000
AIONUSDT,0.18530000
MBLBNB,0.00002199
MBLBTC,0.00000005
MBLUSDT,0.01026900
COTIBNB,0.00107630
COTIBTC,0.00000824
COTIUSDT,0.50200000
ALGOBUSD,1.80750000
BTTBUSD,0.00363200
TOMOBUSD,2.39100000
XMRBUSD,268.80000000
ZECBUSD,126.50000000
BNBBULLUSDT,57.21000000
BNBBULLBUSD,58.37000000
BNBBEARUSDT,58.61000000
BNBBEARBUSD,57.21000000
STPTBNB,0.00067000
STPTBTC,0.00000239
STPTUSDT,0.14581000
BTCZAR,857014.00000000
ETHZAR,27850.40000000
BNBZAR,5000.00000000
USDTZAR,14.02300000
BUSDZAR,13.88800000
BTCBKRW,42029197.00000000
ETHBKRW,1277799.00000000
BNBBKRW,44687.00000000
WTCUSDT,1.03160000
DATABUSD,0.14591000
DATAUSDT,0.14592000
XZCUSDT,4.44600000
SOLBNB,0.33970000
SOLBTC,0.00260000
SOLUSDT,158.56000000
SOLBUSD,158.56000000
BTCIDRT,693891182.00
BNBIDRT,6590303.00
USDTIDRT,14052.00
BUSDIDRT,14389.00
CTSIBTC,0.00001117
CTSIUSDT,0.68220000
CTSIBNB,0.00146000
CTSIBUSD,0.68150000
HIVEBNB,0.00429000
HIVEBTC,0.00001268
HIVEUSDT,0.77300000
CHRBNB,0.00078890
CHRBTC,0.00000604
CHRUSDT,0.36830000
BTCUPUSDT,136.45200000
BTCDOWNUSDT,0.00889000
GXSUSDT,0.61650000
ARDRUSDT,0.32000000
ERDBUSD,0.01966100
LENDUSDT,0.51431000
HBARBUSD,0.37270000
MATICBUSD,1.53000000
WRXBUSD,1.29500000
ZILBUSD,0.09924000
MDTBNB,0.00073720
MDTBTC,0.00000072
MDTUSDT,0.04388000
STMXBNB,0.00006770
STMXBTC,0.00000051
STMXETH,0.00000817
STMXUSDT,0.03147000
KNCBUSD,1.69700000
KNCUSDT,1.69700000
REPBUSD,13.67300000
REPUSDT,23.99000000
LRCBUSD,0.42010000
LRCUSDT,0.41950000
IQBNB,0.00004191
IQBUSD,0.01951000
PNTBTC,0.00001774
PNTUSDT,1.07990000
BTCGBP,43522.95000000
ETHGBP,2758.62000000
XRPGBP,0.81850000
BNBGBP,333.50000000
GBPBUSD,1.40000000
DGBBNB,0.00010980
DGBBTC,0.00000084
DGBBUSD,0.05148000
BTCUAH,1616616.00000000
USDTUAH,26.49000000
COMPBTC,0.00518000
COMPBNB,5.71900000
COMPBUSD,316.50000000
COMPUSDT,316.00000000
BTCBIDR,856394599.00
ETHBIDR,54264932.00
BNBBIDR,6548867.00
BUSDBIDR,14026.00
USDTBIDR,14040.00
BKRWUSDT,0.00084530
BKRWBUSD,0.00084550
SCUSDT,0.01835000
ZENUSDT,79.03000000
SXPBTC,0.00003983
SXPBNB,0.00519900
SXPBUSD,2.42900000
SNXBTC,0.00016120
SNXBNB,0.02102000
SNXBUSD,9.83500000
SNXUSDT,9.82300000
ETHUPUSDT,91.14500000
ETHDOWNUSDT,0.86200000
ADAUPUSDT,126.80000000
ADADOWNUSDT,0.00303900
LINKUPUSDT,1.78900000
LINKDOWNUSDT,0.02174000
VTHOBNB,0.00002044
VTHOBUSD,0.00071800
VTHOUSDT,0.00954400
DCRBUSD,16.03500000
DGBUSDT,0.05137000
GBPUSDT,1.40000000
STORJBUSD,0.36200000
SXPUSDT,2.42900000
IRISBNB,0.00166200
IRISBTC,0.00000190
IRISBUSD,0.06080000
MKRBNB,6.90300000
MKRBTC,0.04248000
MKRUSDT,2588.00000000
MKRBUSD,2590.00000000
DAIBNB,0.04876000
DAIBTC,0.00008966
DAIUSDT,1.01890000
DAIBUSD,1.01810000
RUNEBNB,0.01721000
RUNEBTC,0.00013170
RUNEBUSD,8.02500000
MANABUSD,0.77600000
DOGEBUSD,0.23710000
LENDBUSD,0.51530000
ZRXBUSD,1.00900000
DCRUSDT,120.20000000
STORJUSDT,1.34150000
XRPBKRW,319.76000000
ADABKRW,327.55000000
BTCAUD,82341.23000000
ETHAUD,5213.30000000
AUDBUSD,0.74030000
FIOBNB,0.00041950
FIOBTC,0.00000321
FIOBUSD,0.19580000
BNBUPUSDT,450.10000000
BNBDOWNUSDT,0.20380000
XTZUPUSDT,0.08044000
XTZDOWNUSDT,2.00700000
AVABNB,0.00634000
AVABTC,0.00004857
AVABUSD,2.95600000
USDTBKRW,1125.00000000
BUSDBKRW,1097.18000000
IOTABUSD,1.32970000
MANAUSDT,0.77450000
XRPAUD,1.54670000
BNBAUD,630.40000000
AUDUSDT,0.74040000
BALBNB,0.42580000
BALBTC,0.00037680
BALBUSD,23.01000000
YFIBNB,82.19000000
YFIBTC,0.57840000
YFIBUSD,35284.17000000
YFIUSDT,35304.25000000
BLZBUSD,0.07104000
