Open Time,Open,High,Low,Close,Volume
1632702900000,43155.54,43172.28,43155.54,43172.28,0.00683
1632702960000,43179.11,43186.37,43149.39,43186.37,0.05869
1632703020000,43189.3,43211.88,43189.29,43205.2,0.38428
1632703080000,43230.52,43234.03,43207.18,43220.77,0.25266
1632703140000,43220.98,43275.28,43215.62,43215.62,3.96468
1632703200000,43261.27,43276.08,43261.27,43276.08,0.22547
1632703260000,43260.6,43414.3,43255.31,43397.75,0.93978
1632703320000,43419.1,43455.99,43419.1,43431.17,0.05363
1632703380000,43452.3,43465.8,43428.5,43428.5,0.42187
1632703440000,43410.67,43473.83,43410.67,43471.93,0.04195
1632703500000,43457.54,43500.0,43425.16,43494.09,0.26865
1632703560000,43475.19,43475.19,43438.49,43454.57,0.12599
1632703620000,43463.56,43501.96,43463.56,43495.85,1.1714
1632703680000,43492.41,43562.36,43492.41,43510.0,2.69393
1632703740000,43510.0,43560.5,43492.35,43537.98,10.37602
1632703800000,43559.75,43666.66,43559.75,43580.75,2.23177
1632703860000,43598.73,43703.2,43598.73,43674.92,0.39244
1632703920000,43701.33,43732.0,43674.9,43715.41,2.56688
1632703980000,43701.67,43790.81,43687.84,43749.15,2.96326
1632704040000,43755.08,43757.37,43702.22,43753.56,2.8846
1632704100000,43754.0,43853.18,43754.0,43828.86,1.89701
1632704160000,43835.44,43977.6,43833.56,43977.6,2.86798
1632704220000,43944.77,43975.16,43793.94,43793.94,2.97173
1632704280000,43816.13,43911.77,43799.16,43903.82,3.18595
1632704340000,43885.8,43976.9,43879.74,43883.55,1.116
1632704400000,43900.08,43999.99,43900.08,43919.32,4.50355
1632704460000,43925.21,43938.71,43873.43,43883.4,1.184
1632704520000,43882.64,43931.01,43853.04,43908.88,3.27032
1632704580000,43894.53,43894.53,43848.82,43848.82,1.40441
1632704640000,43842.24,43873.28,43823.68,43866.37,2.66085
1632704700000,43829.73,43845.1,43781.34,43801.49,3.37218
1632704760000,43830.32,43848.42,43764.83,43791.74,1.21398
1632704820000,43791.25,43796.83,43740.24,43748.59,0.15225
1632704880000,43789.08,43833.4,43786.1,43823.6,1.39063
1632704940000,43823.19,43837.53,43774.49,43774.49,0.45661
1632705000000,43789.0,43939.19,43789.0,43939.19,3.20871
1632705060000,43939.75,43941.07,43873.66,43885.17,0.98669
1632705120000,43870.46,43878.18,43836.51,43864.58,0.44574
1632705180000,43864.58,43942.34,43863.3,43911.92,2.05031
1632705240000,43909.5,43962.02,43909.5,43960.58,0.96122
1632705300000,43940.29,43977.97,43919.59,43920.27,0.48719
1632705360000,43932.34,43961.69,43932.32,43937.13,0.27089
1632705420000,43937.21,43937.21,43870.06,43901.95,2.17263
1632705480000,43877.92,43915.09,43848.82,43905.05,3.28057
1632705540000,43914.82,43927.02,43882.05,43882.05,0.1082
1632705600000,43902.74,43936.61,43900.58,43914.46,3.64858
1632705660000,43919.65,43937.05,43911.8,43937.05,0.88857
1632705720000,43934.3,43959.49,43922.43,43952.39,0.7135
1632705780000,43951.01,43972.64,43913.36,43935.95,2.52467
1632705840000,43927.29,43938.7,43927.29,43938.7,0.04828
1632705900000,43940.71,43940.71,43913.06,43913.06,0.0288
1632705960000,43924.87,43995.0,43924.87,43995.0,3.07592
1632706020000,43985.79,43988.93,43955.5,43955.5,0.83141
1632706080000,43951.47,43981.11,43935.56,43953.56,1.41836
1632706140000,43990.0,43991.36,43960.07,43960.07,0.15026
1632706200000,43972.22,43980.43,43919.51,43919.51,0.62199
1632706260000,43942.24,43962.27,43942.24,43962.27,0.46631
1632706320000,43962.27,43962.27,43945.21,43945.55,0.03989
1632706380000,43953.5,43955.74,43910.52,43910.52,0.04356
1632706440000,43890.88,43962.27,43890.88,43939.7,0.45114
1632706500000,43952.73,44208.92,43947.64,44172.01,17.08471
1632706560000,44208.97,44228.23,44076.41,44178.09,6.91264
1632706620000,44199.98,44267.47,44177.67,44267.47,7.49441
1632706680000,44241.65,44271.67,44190.21,44208.69,1.07534
1632706740000,44175.8,44220.59,44150.49,44215.68,1.06404
