symbol,price
NASBNB,0.02337000
MFTBTC,0.00000008
MFTETH,0.00000336
MFTBNB,0.00002735
DENTBTC,0.00000004
DENTETH,0.00000149
ARDRBTC,0.00000517
ARDRETH,0.00018870
ARDRBNB,0.00316800
NULSUSDT,0.56470000
HOTBTC,0.00000002
HOTETH,0.00000240
VETBTC,0.00000192
VETETH,0.00003095
VETUSDT,0.11883000
VETBNB,0.00025160
DOCKBTC,0.00000135
DOCKETH,0.00003283
POLYBTC,0.00001145
POLYBNB,0.00145900
PHXBTC,0.00000180
PHXETH,0.00005617
PHXBNB,0.00045600
HCBTC,0.00002000
HCETH,0.00513400
GOBTC,0.00000053
GOBNB,0.00069230
PAXBTC,0.00025175
PAXBNB,0.20121000
PAXUSDT,0.99960000
PAXETH,0.00888047
RVNBTC,0.00000177
RVNBNB,0.00023190
DCRBTC,0.00195900
DCRBNB,0.78100000
USDCBNB,0.21755000
MITHBTC,0.00000081
MITHBNB,0.00010570
BCHABCBTC,0.02933000
BCHSVBTC,0.01117900
BCHABCUSDT,220.08000000
BCHSVUSDT,58.90000000
BNBPAX,495.10000000
BTCPAX,51529.15000000
ETHPAX,3904.41000000
XRPPAX,0.88960000
EOSPAX,2.58450000
XLMPAX,0.04221000
RENBTC,0.00001696
RENBNB,0.00458500
BNBTUSD,475.50000000
XRPTUSD,1.14070000
EOSTUSD,4.11590000
XLMTUSD,0.06833000
BNBUSDC,472.90000000
BTCUSDC,61715.31000000
ETHUSDC,3841.66000000
XRPUSDC,1.14110000
EOSUSDC,4.62000000
XLMUSDC,0.04970000
USDCUSDT,1.00030000
ADATUSD,2.21700000
TRXTUSD,0.09868000
NEOTUSD,11.81800000
TRXXRP,0.08670000
XZCXRP,20.79200000
PAXTUSD,0.99950000
USDCTUSD,1.00000000
USDCPAX,1.00020000
LINKUSDT,27.05000000
LINKTUSD,28.87000000
LINKPAX,3.98340000
LINKUSDC,27.08000000
WAVESUSDT,29.95000000
WAVESTUSD,1.07200000
WAVESPAX,0.80290000
WAVESUSDC,1.20360000
BCHABCTUSD,220.20000000
BCHABCPAX,221.20000000
BCHABCUSDC,220.30000000
BCHSVTUSD,59.17000000
BCHSVPAX,58.18000000
BCHSVUSDC,57.50000000
LTCTUSD,189.10000000
LTCPAX,171.13000000
LTCUSDC,189.40000000
TRXPAX,0.07661000
TRXUSDC,0.09879000
BTTBTC,0.00000005
BTTBNB,0.00000769
BTTUSDT,0.00363300
BNBUSDS,22.27880000
BTCUSDS,9604.59000000
USDSUSDT,0.99680000
USDSPAX,1.00020000
USDSTUSD,1.00000000
USDSUSDC,1.00000000
BTTPAX,0.00038660
BTTTUSD,0.00363700
BTTUSDC,0.00363100
ONGBNB,0.00545000
ONGBTC,0.00001830
ONGUSDT,1.12910000
HOTBNB,0.00001948
HOTUSDT,0.00922000
ZILUSDT,0.09590000
ZRXBNB,0.01045000
ZRXUSDT,1.00700000
FETBNB,0.00156900
FETBTC,0.00001200
FETUSDT,0.74170000
BATUSDT,0.69440000
XMRBNB,0.56700000
XMRUSDT,268.40000000
ZECBNB,0.26360000
ZECUSDT,125.00000000
ZECPAX,42.10000000
ZECTUSD,51.48000000
ZECUSDC,125.10000000
IOSTBNB,0.00010931
IOSTUSDT,0.05173000
CELRBNB,0.00029847
CELRBTC,0.00000229
CELRUSDT,0.14108000
ADAPAX,0.03257000
ADAUSDC,2.21200000
NEOPAX,11.12200000
NEOUSDC,44.40000000
DASHBNB,0.40800000
DASHUSDT,193.00000000
NANOUSDT,5.45400000
OMGBNB,0.03938000
OMGUSDT,13.99400000
THETAUSDT,6.22700000
ENJUSDT,1.62100000
MITHUSDT,0.04983000
MATICBNB,0.00326900
MATICBTC,0.00002504
MATICUSDT,1.54500000
ATOMBNB,0.06998000
ATOMBTC,0.00053630
ATOMUSDT,33.11000000
ATOMUSDC,33.14000000
ATOMPAX,3.17800000
ATOMTUSD,2.59800000
ETCUSDC,4.71000000
ETCPAX,4.83800000
ETCTUSD,3.79500000
BATUSDC,0.63130000
BATPAX,0.25560000
BATTUSD,0.22220000
PHBBNB,0.00013700
PHBBTC,0.00000015
PHBUSDC,0.00587000
PHBTUSD,0.00962700
PHBPAX,0.00639000
TFUELBNB,0.00012590
TFUELBTC,0.00000461
TFUELUSDT,0.28510000
TFUELUSDC,0.00356500
TFUELTUSD,0.00307700
TFUELPAX,0.00348700
ONEBNB,0.00047830
ONEBTC,0.00000367
ONEUSDT,0.22681000
ONETUSD,0.00472000
ONEPAX,0.00496000
ONEUSDC,0.00520000
FTMBNB,0.00410420
FTMBTC,0.00003146
FTMUSDT,1.94200000
FTMTUSD,0.01095000
FTMPAX,0.01028000
FTMUSDC,0.01107000
BTCBBTC,1.00000000
BCPTTUSD,0.02606000
BCPTPAX,0.02761000
BCPTUSDC,0.02728000
ALGOBNB,0.00368200
ALGOBTC,0.00002821
ALGOUSDT,1.74260000
ALGOTUSD,1.01700000
ALGOPAX,0.20390000
ALGOUSDC,0.23800000
USDSBUSDT,0.99970000
USDSBUSDS,0.99990000
GTOUSDT,0.04216000
GTOPAX,0.01361000
GTOTUSD,0.01236000
GTOUSDC,0.01196000
ERDBNB,0.00083273
ERDBTC,0.00000168
ERDUSDT,0.01971000
ERDPAX,0.00125270
ERDUSDC,0.00135730
DOGEBNB,0.00015270
DOGEBTC,0.00000384
DOGEUSDT,0.23740000
DOGEPAX,0.00216820
DOGEUSDC,0.00212770
DUSKBNB,0.00118000
DUSKBTC,0.00000269
DUSKUSDT,0.16560000
DUSKUSDC,0.01790000
DUSKPAX,0.01890000
BGBPUSDC,1.39000000
ANKRBNB,0.00019160
ANKRBTC,0.00000147
ANKRUSDT,0.09073000
ANKRTUSD,0.00212800
ANKRPAX,0.00209300
ANKRUSDC,0.00209700
ONTPAX,0.84510000
ONTUSDC,0.57080000
WINBNB,0.00000120
WINBTC,0.00000001
WINUSDT,0.00057090
WINUSDC,0.00057130
COSBNB,0.00004652
COSBTC,0.00000035
COSUSDT,0.02196000
TUSDBTUSD,0.99750000
NPXSUSDT,0.00703010
NPXSUSDC,0.00017020
COCOSBNB,0.00134000
COCOSBTC,0.00000003
COCOSUSDT,0.63390000
MTLUSDT,3.23200000
TOMOBNB,0.03255000
TOMOBTC,0.00003900
TOMOUSDT,2.40800000
TOMOUSDC,0.36700000
PERLBNB,0.00019380
PERLBTC,0.00000149
PERLUSDC,0.02447000
PERLUSDT,0.09145000
DENTUSDT,0.00573100
MFTUSDT,0.01290000
KEYUSDT,0.00947900
STORMUSDT,0.00339700
DOCKUSDT,0.08294000
WANUSDT,0.90770000
FUNUSDT,0.02092000
CVCUSDT,0.47600000
BTTTRX,0.03679000
WINTRX,0.00579400
CHZBNB,0.00068310
CHZBTC,0.00000523
CHZUSDT,0.32340000
BANDBNB,0.02248000
BANDBTC,0.00013530
BANDUSDT,8.35400000
BNBBUSD,472.80000000
BTCBUSD,61716.35000000
BUSDUSDT,1.00010000
BEAMBNB,0.02177000
BEAMBTC,0.00001227
BEAMUSDT,0.76070000
XTZBNB,0.01452300
XTZBTC,0.00011150
XTZUSDT,6.88800000
RENUSDT,1.04940000
RVNUSDT,0.10969000
HCUSDT,0.84230000
HBARBNB,0.00078030
HBARBTC,0.00000597
HBARUSDT,0.36830000
NKNBNB,0.00074700
NKNBTC,0.00000969
NKNUSDT,0.59910000
XRPBUSD,1.13970000
ETHBUSD,3841.06000000
BCHABCBUSD,220.16000000
LTCBUSD,189.30000000
LINKBUSD,27.06000000
ETCBUSD,54.08000000
STXBNB,0.00407300
STXBTC,0.00003127
STXUSDT,1.92700000
KAVABNB,0.01212000
KAVABTC,0.00009270
KAVAUSDT,5.73200000
BUSDNGN,462.64000000
BNBNGN,43608.00000000
BTCNGN,33349193.00000000
ARPABNB,0.00026290
ARPABTC,0.00000201
ARPAUSDT,0.12430000
TRXBUSD,0.09870000
EOSBUSD,4.60800000
IOTXUSDT,0.06867000
RLCUSDT,4.57400000
MCOUSDT,2.74400000
XLMBUSD,0.37170000
ADABUSD,2.21200000
CTXCBNB,0.00412200
CTXCBTC,0.00000381
CTXCUSDT,0.23510000
BCHBNB,1.33100000
BCHBTC,0.01017000
BCHUSDT,628.10000000
BCHUSDC,628.30000000
BCHTUSD,630.00000000
BCHPAX,617.72000000
BCHBUSD,627.80000000
BTCRUB,4373037.00000000
ETHRUB,272484.40000000
XRPRUB,80.77000000
BNBRUB,33500.00000000
TROYBNB,0.00003974
TROYBTC,0.00000018
TROYUSDT,0.01872600
BUSDRUB,70.86000000
QTUMBUSD,12.66600000
VETBUSD,0.11882000
VITEBNB,0.00070700
VITEBTC,0.00000150
VITEUSDT,0.09222000
FTTBNB,0.11990000
FTTBTC,0.00091800
FTTUSDT,56.65000000
BTCTRY,571712.00000000
BNBTRY,4375.00000000
BUSDTRY,9.25900000
ETHTRY,35557.00000000
XRPTRY,10.54800000
USDTTRY,9.25600000
USDTRUB,70.84000000
BTCEUR,53094.09000000
ETHEUR,3303.76000000
BNBEUR,406.60000000
XRPEUR,0.98130000
EURBUSD,1.16200000
EURUSDT,1.16300000
OGNBNB,0.00183800
OGNBTC,0.00001406
OGNUSDT,0.86840000
DREPBNB,0.00009380
DREPBTC,0.00001120
DREPUSDT,0.69870000
BULLUSDT,1370.28000000
BULLBUSD,1368.56000000
BEARUSDT,11.16000000
BEARBUSD,11.14000000
ETHBULLUSDT,79.18000000
ETHBULLBUSD,78.46000000
