,open_time,open,high,low,closed,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-10-05 08:24:59.999,1633447200000,3445.70000000,3445.70000000,3438.23000000,3438.73000000,1597.21880000,1633447499999,5497073.22689300,2530,1037.61380000,3571088.59371700,0
2021-10-05 08:29:59.999,1633447500000,3438.49000000,3438.69000000,3434.44000000,3434.67000000,1349.58020000,1633447799999,4638051.21845200,2650,794.06570000,2728987.96303800,0
2021-10-05 08:34:59.999,1633447800000,3434.66000000,3438.40000000,3425.01000000,3426.88000000,1348.50040000,1633448099999,4628373.32298800,2999,585.22530000,2009393.14762700,0
2021-10-05 08:39:59.999,1633448100000,3426.82000000,3432.16000000,3426.75000000,3428.00000000,1104.60570000,1633448399999,3788857.05556400,2451,583.71310000,2001954.99170600,0
2021-10-05 08:44:59.999,1633448400000,3428.00000000,3428.00000000,3422.00000000,3422.01000000,1133.57680000,1633448699999,3882364.87588700,2636,518.80720000,1777034.92696600,0
2021-10-05 08:49:59.999,1633448700000,3422.00000000,3428.42000000,3416.16000000,3418.93000000,1554.32830000,1633448999999,5318439.59546800,3225,763.53750000,2612853.24589100,0
2021-10-05 08:54:59.999,1633449000000,3418.94000000,3422.96000000,3417.59000000,3422.68000000,1846.75630000,1633449299999,6317201.81251700,2623,455.74530000,1559278.94011200,0
2021-10-05 08:59:59.999,1633449300000,3422.69000000,3424.56000000,3416.82000000,3418.35000000,1868.49050000,1633449599999,6391922.04961000,2672,595.44660000,2037451.90717200,0
2021-10-05 09:04:59.999,1633449600000,3418.67000000,3430.22000000,3417.00000000,3417.26000000,1959.87550000,1633449899999,6710950.03715600,3874,1104.40960000,3782131.38222800,0
2021-10-05 09:09:59.999,1633449900000,3417.25000000,3429.60000000,3407.14000000,3429.30000000,2670.32670000,1633450199999,9123777.08997800,11733,881.94170000,3014125.28691700,0
2021-10-05 09:14:59.999,1633450200000,3428.97000000,3434.95000000,3424.27000000,3434.06000000,1197.82480000,1633450499999,4108398.22554200,3115,728.27220000,2497813.39511200,0
2021-10-05 09:19:59.999,1633450500000,3434.25000000,3437.00000000,3426.03000000,3427.10000000,1060.42880000,1633450799999,3639804.52005700,2575,417.54770000,1433277.04435100,0
2021-10-05 09:24:59.999,1633450800000,3427.10000000,3429.37000000,3419.41000000,3419.70000000,1096.30550000,1633451099999,3752996.44054900,2275,608.53750000,2083339.92240200,0
2021-10-05 09:29:59.999,1633451100000,3419.71000000,3422.73000000,3412.19000000,3412.19000000,1590.14130000,1633451399999,5437011.67631700,3480,798.28930000,2730010.46662100,0
2021-10-05 09:34:59.999,1633451400000,3412.20000000,3422.74000000,3410.50000000,3422.30000000,1474.47720000,1633451699999,5036158.13065300,2779,911.90560000,3114853.70661700,0
2021-10-05 09:39:59.999,1633451700000,3422.30000000,3424.47000000,3416.27000000,3423.99000000,1019.16250000,1633451999999,3485851.05600900,2020,665.73890000,2276855.34335200,0
2021-10-05 09:44:59.999,1633452000000,3423.99000000,3427.00000000,3422.91000000,3424.49000000,553.95530000,1633452299999,1897380.83157400,1706,265.23070000,908473.91323200,0
2021-10-05 09:49:59.999,1633452300000,3424.49000000,3430.93000000,3424.49000000,3429.37000000,586.44280000,1633452599999,2010720.46046300,1643,335.03900000,1148757.33936400,0
2021-10-05 09:54:59.999,1633452600000,3429.37000000,3436.94000000,3428.64000000,3431.15000000,851.53660000,1633452899999,2923026.11655100,2224,487.85850000,1674570.51117800,0
2021-10-05 09:59:59.999,1633452900000,3431.14000000,3435.84000000,3428.71000000,3434.43000000,1060.95400000,1633453199999,3641543.81537300,2040,412.27500000,1415110.41073300,0
2021-10-05 10:04:59.999,1633453200000,3434.26000000,3434.99000000,3420.92000000,3427.04000000,934.41470000,1633453499999,3202321.16753900,2417,335.11660000,1148511.58059200,0
2021-10-05 10:09:59.999,1633453500000,3427.04000000,3430.63000000,3425.01000000,3428.15000000,800.47410000,1633453799999,2743506.30155500,2019,258.76590000,886886.93902500,0
2021-10-05 10:14:59.999,1633453800000,3428.14000000,3429.76000000,3425.00000000,3425.07000000,804.07080000,1633454099999,2755908.82520700,2073,209.82880000,719223.35894400,0
2021-10-05 10:19:59.999,1633454100000,3425.06000000,3432.14000000,3423.40000000,3423.88000000,1048.07150000,1633454399999,3592183.23916200,2336,285.25730000,977757.32985800,0
2021-10-05 10:24:59.999,1633454400000,3423.89000000,3430.78000000,3423.89000000,3426.61000000,841.94160000,1633454699999,2885431.90935600,1818,305.43560000,1046812.98546900,0
2021-10-05 10:29:59.999,1633454700000,3426.61000000,3437.92000000,3425.01000000,3437.47000000,826.36010000,1633454999999,2835675.13478900,2088,452.00600000,1551446.07933700,0
2021-10-05 10:34:59.999,1633455000000,3437.46000000,3441.80000000,3429.52000000,3432.18000000,786.39240000,1633455299999,2700565.91985900,2489,410.98090000,1411682.44819700,0
2021-10-05 10:39:59.999,1633455300000,3432.18000000,3435.11000000,3430.35000000,3435.09000000,330.78100000,1633455599999,1135270.98577000,1320,167.83440000,576012.94916800,0
2021-10-05 10:44:59.999,1633455600000,3435.09000000,3438.84000000,3432.79000000,3435.92000000,480.05860000,1633455899999,1649511.25648800,1538,266.43930000,915506.95181500,0
