Open Time,Open,High,Low,Close,Volume
4/5/2021,58209.31,59263.05,56781.24,59142.84,1558.396604
4/6/2021,59142.8,59499.79,57386.73,57987.27,1502.702368
4/7/2021,57987.29,58654.95,55445.46,55941.32,2205.62085
4/8/2021,55944.12,58157.89,55677.77,58087.01,1512.539767
4/9/2021,58065.8,58881.43,57653.65,58109.4,1369.782565
4/10/2021,58115.4,61284.36,57868.23,59778.35,1591.487476
4/11/2021,59763.24,60675,59171.56,59954.82,1071.167638
4/12/2021,59961.48,61240.6,59350,59830.82,1538.874417
4/13/2021,59819.35,63770.99,59772.36,63554.56,2152.863843
4/14/2021,63583.85,64882.47,61109,62963.8,2610.123688
4/15/2021,62963.8,63862.2,62032.95,63224.59,1571.280967
4/16/2021,63224.58,63581.56,60015.3,61404.3,2532.397485
4/17/2021,61415.6,62583.55,59659.33,60046.12,1701.281826
4/18/2021,60066.3,60420.87,51035.68,56265.18,4639.894977
4/19/2021,56248.84,58000,54245.51,55664.34,2781.462732
4/20/2021,55674.4,57200,53403.37,56474.41,2973.949424
4/21/2021,56482.87,56823.75,53450.12,53803.99,3248.982775
4/22/2021,53811.62,55500,50469,51736.97,4407.936701
4/23/2021,51712.24,52125.87,47464.46,51121.14,5274.853114
4/24/2021,51161.12,51196.8,47718.92,50105,2375.977985
4/25/2021,50099.71,50599.99,47013.71,49123.01,1979.090384
4/26/2021,49123.07,54597.25,48835.81,54055.99,3280.133295
4/27/2021,54040.75,55500,53307.49,55068.14,1891.361448
4/28/2021,55064.8,56489.53,53864.59,54877.5,1993.682127
4/29/2021,54877.5,55225.12,52360.1,53580.6,1800.211074
4/30/2021,53591.28,58000.04,53077.54,57764.76,2042.901351
5/1/2021,57764.75,58531.63,57047.64,57843.14,1402.799228
5/2/2021,57844.9,57963.86,56073.43,56606.3,1172.066589
5/3/2021,56602.83,59050,56490.38,57205.19,2193.812541
5/4/2021,57208.09,57228.69,53000,53227.11,2965.383601
5/5/2021,53241.86,57998.96,52915.12,57493.09,2752.994924
5/6/2021,57504.22,59050,55268.09,56440.62,2198.309321
5/7/2021,56429.29,58725.27,55300,57368.34,2209.712045
5/8/2021,57367.68,59558.2,56971.49,58939.31,1866.381689
5/9/2021,58945.9,59300,56260.45,58280.4,2226.058078
5/10/2021,58328.37,59611.94,53232.55,55859.56,3348.072229
5/11/2021,55872.21,59500,54511.06,56752.71,2219.303338
5/12/2021,56749.65,59000,48500,49547.74,3110.699329
5/13/2021,49545.49,55199,46100,49661.84,5142.8416
5/14/2021,49691.58,51579.44,48873.52,49887.22,2102.646668
5/15/2021,49893.73,51800,46571.88,46785.78,2056.567463
5/16/2021,46801.92,49796.87,43800,46429.2,3616.306985
5/17/2021,46427.05,46659.97,42117,43530.32,5363.679173
5/18/2021,43542.51,45840.94,42288.01,42876.51,3541.78506
5/19/2021,42883.81,43600,30000,36753.96,13553.42948
5/20/2021,36754,42750,33734.69,40632.12,6970.379227
5/21/2021,40589.29,42275.11,33510,37344.93,7988.205685
5/22/2021,37333.51,38888,35113.01,37482.33,5085.561887
5/23/2021,37480.4,38299.08,31055,34734.64,8714.002801
5/24/2021,34760.71,40000,34431.52,38819.19,5880.163786
5/25/2021,38833.93,39840.73,36437.83,38380.94,3920.487435
5/26/2021,38364.12,40900,37840.77,39281.68,3337.45478
5/27/2021,39279.15,40437.57,37189.32,38552.14,2415.22531
5/28/2021,38562.04,38897.36,34700,35672.13,4290.374912
5/29/2021,35689.6,37362.6,33633.33,34598.36,3474.501771
5/30/2021,34612.4,36800,33400,35658.55,3093.479019
5/31/2021,35651.65,37516.48,34182.39,37245.25,3381.19032
6/1/2021,37254.08,37920.31,35660.45,36680.29,2733.037137
6/2/2021,36690.42,38438.27,35900,37579.26,2173.914367
6/3/2021,37567.84,39481,37168.1,39243.83,2552.861805
6/4/2021,39243.84,39277.82,35500,36861.35,2970.81323
6/5/2021,36849.44,37922.96,34800,35530.74,2301.57086
6/6/2021,35505.32,36476.84,34800,35798.29,1473.245661
6/7/2021,35801.16,36840.74,33300,33578.01,2759.907364
6/8/2021,33563.44,34072.78,31021,33373.32,4905.528725
6/9/2021,33400.66,37552.1,32420.91,37412.11,3979.166968
6/10/2021,37400.55,38619.59,35815.18,36686.78,3242.462282
6/11/2021,36677.28,37850,35939.88,37324.57,2533.471096
6/12/2021,37341.29,37450.78,34611,35527.1,2359.478051
6/13/2021,35555.85,39657.69,34770.24,39025.72,2809.080633
6/14/2021,39037.68,41069.9,38738,40525.99,3250.619207
6/15/2021,40521.93,41339.67,39526.52,40156.95,2281.395243
6/16/2021,40145,40512,38012.54,38341.29,2500.024921
6/17/2021,38333.4,39548.79,37373,38079.75,2663.875974
6/18/2021,38081.2,39100,35149.3,35828.28,2688.040377
6/19/2021,35840.76,36458.94,34826,35491.55,2884.263228
6/20/2021,35487.75,36140.18,33330.59,35593.89,3234.340219
6/21/2021,35589.06,35742.71,31250,31609.12,6103.445502
6/22/2021,31619.44,33463.05,28765.43,32518.52,8274.32859
6/23/2021,32520.45,34864.52,31709.94,33672.23,4379.362497
6/24/2021,33680.77,35331,32323,34664.58,2561.598602
6/25/2021,34648.14,35500,31260,31593.1,3758.823746
6/26/2021,31582.01,32873.91,30150,32273.49,3537.901589
6/27/2021,32256.33,34745.69,31987.13,34678.88,2997.283072
6/28/2021,34708.86,35303.91,33888,34481.09,2852.136128
6/29/2021,34486.75,36633.77,34202.2,35911.03,3050.027586
6/30/2021,35917.57,36114.7,33901.71,35026.97,2633.316802
7/1/2021,35052.97,35053.04,32666.6,33513.42,2290.017245
7/2/2021,33517.99,34089.13,32700,33810.38,2067.782193
7/3/2021,33788.75,34989.06,33328.75,34681.43,1636.163798
7/4/2021,34685.34,35968.64,34375.42,35290.65,1306.070398
7/5/2021,35280.25,35280.25,33118.81,33743.42,2082.537602
7/6/2021,33708.5,35155.16,33500,34225.52,1707.63752
7/7/2021,34208.61,35076.44,33763.39,33868.46,1699.225509
7/8/2021,33863.93,33934.43,32096.15,32870.81,2457.235259
7/9/2021,32868.08,34097.23,32255.75,33806.64,1547.332259
7/10/2021,33805.04,34301.85,33013.17,33503.04,1153.012134
7/11/2021,33501.16,34626.41,33304.69,34244.09,1197.253966
7/12/2021,34251.44,34683.69,31120,33089.77,1837.315304
7/13/2021,33090.5,33333.31,32167.56,32727.05,1996.89593
7/14/2021,32727.72,33132.11,31589.84,32818.32,1695.65143
7/15/2021,32814.57,33189.38,31130.27,31870.74,2195.833165
7/16/2021,31872.07,32268,31025.65,31374.74,1843.897641
7/17/2021,31378.63,31988,31152.31,31509.98,1369.579999
7/18/2021,31519.62,32439.14,31135.12,31782.76,1428.174778
7/19/2021,31786.78,31898,30402.83,30828.98,1935.711841
7/20/2021,30832.11,31055,29264.41,29793.63,2982.969645
7/21/2021,29795.9,32844.96,29487.79,32128.31,3712.687393
7/22/2021,32148.48,32598.59,31726.23,32288.94,2160.164618
7/23/2021,32289.95,33650.19,32000,33636.26,2144.926074
7/24/2021,33652.22,34507.83,33418.36,34264.68,2469.018466
7/25/2021,34275.19,35417.9,33872.05,35401.94,1727.279399
7/26/2021,35403.88,40588.12,35248.96,37248.41,7281.061858
7/27/2021,37250.03,39543.9,36399,39479.37,5201.987097
7/28/2021,39469.3,40898,38768.52,40013.65,6663.970452
7/29/2021,40028.89,40643.15,39114.97,40035.89,3481.872251
7/30/2021,40033.89,42338.09,38318.36,42230.35,4310.914026
7/31/2021,42225.61,42471.61,41066.1,41481.71,2153.959358
8/1/2021,41493.12,42600,39432,39856.79,2450.14526
8/2/2021,39866.51,40457.08,38688.88,39150.89,2260.514767
8/3/2021,39159.43,39785.98,37654.48,38202.95,2590.179306
8/4/2021,38209.9,39965.9,37500,39734.78,2290.327755
8/5/2021,39725.68,41374.07,37300,40882.95,3377.412442
8/6/2021,40883.36,43399.99,39879.65,42874.98,3210.788191
8/7/2021,42874.98,44754.94,42442.55,44600.86,3261.024914
8/8/2021,44608.28,45360.2,43288.55,43835.04,2989.068905
8/9/2021,43828.73,46499.99,42817.95,46267.01,3649.601154
8/10/2021,46269.61,46735.29,44619.89,45598.01,2279.479893
8/11/2021,45603.14,46787.68,45341,45532.33,2176.991137
8/12/2021,45543.49,46230.98,43762.79,44433.43,2562.025665
8/13/2021,44437.8,47893.76,44241.49,47831.83,2132.62233
8/14/2021,47824.57,48200,46024.66,47092.92,2150.211364
